0.0000000000085696 0.0000000000085861   0.0000000000085778 #    0    1 virt virt
0.0000000000085696 0.4992222845871238  -0.0000020683681496 #    0    2 virt virt
0.0000000000085696 0.5007777153957208  -0.0000020715878591 #    0    3 virt occu
0.0000000000085861 0.0000000000085696   0.0000000000085778 #    1    0 virt virt
0.0000000000085861 0.4992222845871238  -0.0000020703527756 #    1    2 virt virt
0.0000000000085861 0.5007777153957208  -0.0000020735755745 #    1    3 virt occu
0.4992222845871238 0.0000000000085696  -0.0000020683681496 #    2    0 virt virt
0.4992222845871238 0.0000000000085861  -0.0000020703527756 #    2    1 virt virt
0.4992222845871238 0.5007777153957208   0.4999993951498063 #    2    3 virt occu
0.5007777153957208 0.0000000000085696  -0.0000020715878591 #    3    0 occu virt
0.5007777153957208 0.0000000000085861  -0.0000020735755745 #    3    1 occu virt
0.5007777153957208 0.4992222845871238   0.4999993951498063 #    3    2 occu virt
0.0000000000000008 0.0000000000000008   0.0000000000000001 #    0    1 virt virt
0.0000000000000008 0.4999782859488734   0.0000000085341697 #    0    2 virt virt
0.0000000000000008 0.5000217140511256   0.0000000085345403 #    0    3 virt occu
0.0000000000000008 0.0000000000000008   0.0000000000000001 #    1    0 virt virt
0.0000000000000008 0.4999782859488734   0.0000000085347476 #    1    2 virt virt
0.0000000000000008 0.5000217140511256   0.0000000085351183 #    1    3 virt occu
0.4999782859488734 0.0000000000000008   0.0000000085341697 #    2    0 virt virt
0.4999782859488734 0.0000000000000008   0.0000000085347476 #    2    1 virt virt
0.4999782859488734 0.5000217140511256   0.4999999995259840 #    2    3 virt occu
0.5000217140511255 0.0000000000000008   0.0000000085345403 #    3    0 occu virt
0.5000217140511255 0.0000000000000008   0.0000000085351183 #    3    1 occu virt
0.5000217140511255 0.4999782859488734   0.4999999995259840 #    3    2 occu virt
0.0000000001314902 0.0000000001323059   0.0000000001318974 #    0    1 virt virt
0.0000000001314902 0.4974132307606559  -0.0000080873322012 #    0    2 virt virt
0.0000000001314902 0.5025867689755482  -0.0000081292811163 #    0    3 virt occu
0.0000000001323059 0.0000000001314902   0.0000000001318974 #    1    0 virt virt
0.0000000001323059 0.4974132307606559  -0.0000081123811811 #    1    2 virt virt
0.0000000001323059 0.5025867689755482  -0.0000081544600250 #    1    3 virt occu
0.4974132307606559 0.0000000001314902  -0.0000080873322012 #    2    0 virt virt
0.4974132307606559 0.0000000001323059  -0.0000081123811811 #    2    1 virt virt
0.4974132307606559 0.5025867689755482   0.4999933084489100 #    2    3 virt occu
0.5025867689755482 0.0000000001314902  -0.0000081292811163 #    3    0 occu virt
0.5025867689755482 0.0000000001323059  -0.0000081544600250 #    3    1 occu virt
0.5025867689755482 0.4974132307606559   0.4999933084489100 #    3    2 occu virt
0.0000164402952478 0.0000414035399103  -0.0000260899678120 #    0    1 virt virt
0.0000164402952478 0.2493295838071393   0.0020246115607213 #    0    2 virt virt
0.0000164402952478 0.7506125723577028   0.0035128752192883 #    0    3 virt occu
0.0000414035399103 0.0000164402952478  -0.0000260899678120 #    1    0 virt virt
0.0000414035399103 0.2493295838071393  -0.0032129623984675 #    1    2 virt virt
0.0000414035399103 0.7506125723577028  -0.0055747661472703 #    1    3 virt occu
0.2493295838071393 0.0000164402952478   0.0020246115607213 #    2    0 virt virt
0.2493295838071393 0.0000414035399103  -0.0032129623984675 #    2    1 virt virt
0.2493295838071393 0.7506125723577028   0.4326082757719185 #    2    3 virt occu
0.7506125723577028 0.0000164402952478   0.0035128752192883 #    3    0 occu virt
0.7506125723577028 0.0000414035399103  -0.0055747661472703 #    3    1 occu virt
0.7506125723577028 0.2493295838071393   0.4326082757719185 #    3    2 occu virt
0.0000004389957785 0.0000008025390686   0.0000005935581381 #    0    1 virt virt
0.0000004389957785 0.4342599019738689  -0.0004366214192629 #    0    2 virt virt
0.0000004389957785 0.5657388564912845  -0.0004983542613044 #    0    3 virt occu
0.0000008025390686 0.0000004389957785   0.0000005935581381 #    1    0 virt virt
0.0000008025390686 0.4342599019738689  -0.0005903478104235 #    1    2 virt virt
0.0000008025390686 0.5657388564912845  -0.0006738156535538 #    1    3 virt occu
0.4342599019738689 0.0000004389957785  -0.0004366214192629 #    2    0 virt virt
0.4342599019738689 0.0000008025390686  -0.0005903478104235 #    2    1 virt virt
0.4342599019738689 0.5657388564912845   0.4956588548212509 #    2    3 virt occu
0.5657388564912845 0.0000004389957785  -0.0004983542613044 #    3    0 occu virt
0.5657388564912845 0.0000008025390686  -0.0006738156535538 #    3    1 occu virt
0.5657388564912845 0.4342599019738689   0.4956588548212509 #    3    2 occu virt
0.0000013091857767 0.0000028292634296   0.0000019245860440 #    0    1 virt virt
0.0000013091857767 0.3987226746924770  -0.0007224970965838 #    0    2 virt virt
0.0000013091857767 0.6012731868583170  -0.0008872306938848 #    0    3 virt occu
0.0000028292634296 0.0000013091857767   0.0000019245860440 #    1    0 virt virt
0.0000028292634296 0.3987226746924770  -0.0010621165105874 #    1    2 virt virt
0.0000028292634296 0.6012731868583170  -0.0013042853364127 #    1    3 virt occu
0.3987226746924770 0.0000013091857767  -0.0007224970965838 #    2    0 virt virt
0.3987226746924770 0.0000028292634296  -0.0010621165105874 #    2    1 virt virt
0.3987226746924770 0.6012731868583170   0.4896337950805864 #    2    3 virt occu
0.6012731868583170 0.0000013091857767  -0.0008872306938848 #    3    0 occu virt
0.6012731868583170 0.0000028292634296  -0.0013042853364127 #    3    1 occu virt
0.6012731868583170 0.3987226746924770   0.4896337950805864 #    3    2 occu virt
0.0001399990475135 0.0021107606936249  -0.0005436032437692 #    0    1 virt virt
0.0001399990475135 0.0157178928800903  -0.0014834048780192 #    0    2 virt virt
0.0001399990475135 0.9820313473787714  -0.0117253338230257 #    0    3 virt occu
0.0021107606936249 0.0001399990475135  -0.0005436032437692 #    1    0 virt virt
0.0021107606936249 0.0157178928800903   0.0057599227840225 #    1    2 virt virt
