0.0000000024314022 0.0000000025929798  -0.0000000025108916 #    0    1 virt virt
0.0000000024314022 0.4914124818770440   0.0000345661884715 #    0    2 virt virt
0.0000000024314022 0.5085875130985740   0.0000351650507465 #    0    3 virt occu
0.0000000025929798 0.0000000024314022  -0.0000000025108916 #    1    0 virt virt
0.0000000025929798 0.4914124818770440  -0.0000356962554012 #    1    2 virt virt
0.0000000025929798 0.5085875130985740  -0.0000363146961857 #    1    3 virt occu
0.4914124818770440 0.0000000024314022   0.0000345661884715 #    2    0 virt virt
0.4914124818770440 0.0000000025929798  -0.0000356962554012 #    2    1 virt virt
0.4914124818770440 0.5085875130985740   0.4999262466238834 #    2    3 virt occu
0.5085875130985740 0.0000000024314022   0.0000351650507465 #    3    0 occu virt
0.5085875130985740 0.0000000025929798  -0.0000363146961857 #    3    1 occu virt
0.5085875130985740 0.4914124818770440   0.4999262466238834 #    3    2 occu virt
0.0000000000044980 0.0000000000045071  -0.0000000000045025 #    0    1 virt virt
0.0000000000044980 0.4994202214060109  -0.0000014987921830 #    0    2 virt virt
0.0000000000044980 0.5005797785849844  -0.0000015005311270 #    0    3 virt occu
0.0000000000045071 0.0000000000044980  -0.0000000000045025 #    1    0 virt virt
0.0000000000045071 0.4994202214060109   0.0000015003138649 #    1    2 virt virt
0.0000000000045071 0.5005797785849844   0.0000015020545744 #    1    3 virt occu
0.4994202214060109 0.0000000000044980  -0.0000014987921830 #    2    0 virt virt
0.4994202214060109 0.0000000000045071   0.0000015003138649 #    2    1 virt virt
0.4994202214060109 0.5005797785849844   0.4999996638521718 #    2    3 virt occu
0.5005797785849844 0.0000000000044980  -0.0000015005311270 #    3    0 occu virt
0.5005797785849844 0.0000000000045071   0.0000015020545744 #    3    1 occu virt
0.5005797785849844 0.4994202214060109   0.4999996638521718 #    3    2 occu virt
0.0000000163849344 0.0000000195483354   0.0000000178968766 #    0    1 virt virt
0.0000000163849344 0.4818620638517323  -0.0000888553784696 #    0    2 virt virt
0.0000000163849344 0.5181379002149982  -0.0000921393264593 #    0    3 virt occu
0.0000000195483354 0.0000000163849344   0.0000000178968766 #    1    0 virt virt
0.0000000195483354 0.4818620638517323  -0.0000970546300713 #    1    2 virt virt
0.0000000195483354 0.5181379002149982  -0.0001006416088541 #    1    3 virt occu
0.4818620638517323 0.0000000163849344  -0.0000888553784696 #    2    0 virt virt
0.4818620638517323 0.0000000195483354  -0.0000970546300713 #    2    1 virt virt
0.4818620638517323 0.5181379002149982   0.4996708896437754 #    2    3 virt occu
0.5181379002149982 0.0000000163849344  -0.0000921393264593 #    3    0 occu virt
0.5181379002149982 0.0000000195483354  -0.0001006416088541 #    3    1 occu virt
0.5181379002149982 0.4818620638517323   0.4996708896437754 #    3    2 occu virt
0.0000607175876322 0.0001663431616434  -0.0001004985347859 #    0    1 virt virt
0.0000607175876322 0.1332763416509376   0.0028446823994064 #    0    2 virt virt
0.0000607175876322 0.8664965975997868   0.0072533842513537 #    0    3 virt occu
0.0001663431616434 0.0000607175876322  -0.0001004985347859 #    1    0 virt virt
0.0001663431616434 0.1332763416509376  -0.0047084613243060 #    1    2 virt virt
0.0001663431616434 0.8664965975997868  -0.0120056563168372 #    1    3 virt occu
0.1332763416509376 0.0000607175876322   0.0028446823994064 #    2    0 virt virt
0.1332763416509376 0.0001663431616434  -0.0047084613243060 #    2    1 virt virt
0.1332763416509376 0.8664965975997868   0.3398286282541308 #    2    3 virt occu
0.8664965975997868 0.0000607175876322   0.0072533842513537 #    3    0 occu virt
0.8664965975997868 0.0001663431616434  -0.0120056563168372 #    3    1 occu virt
0.8664965975997868 0.1332763416509376   0.3398286282541308 #    3    2 occu virt
0.0000044965236686 0.0000109858358123  -0.0000070283761105 #    0    1 virt virt
0.0000044965236686 0.3385264509062398   0.0012337715343446 #    0    2 virt virt
0.0000044965236686 0.6614580667342790   0.0017246048396315 #    0    3 virt occu
0.0000109858358123 0.0000044965236686  -0.0000070283761105 #    1    0 virt virt
0.0000109858358123 0.3385264509062398  -0.0019284698617796 #    1    2 virt virt
0.0000109858358123 0.6614580667342790  -0.0026956761151694 #    1    3 virt occu
0.3385264509062398 0.0000044965236686   0.0012337715343446 #    2    0 virt virt
0.3385264509062398 0.0000109858358123  -0.0019284698617796 #    2    1 virt virt
0.3385264509062398 0.6614580667342790   0.4732029709911575 #    2    3 virt occu
0.6614580667342790 0.0000044965236686   0.0017246048396315 #    3    0 occu virt
0.6614580667342790 0.0000109858358123  -0.0026956761151694 #    3    1 occu virt
0.6614580667342790 0.3385264509062398   0.4732029709911575 #    3    2 occu virt
0.0000104573625230 0.0000262662398308   0.0000165733397970 #    0    1 virt virt
0.0000104573625230 0.2835221260354389  -0.0017218866557497 #    0    2 virt virt
0.0000104573625230 0.7164411503622071  -0.0027371673013801 #    0    3 virt occu
0.0000262662398308 0.0000104573625230   0.0000165733397970 #    1    0 virt virt
0.0000262662398308 0.2835221260354389  -0.0027289302225918 #    1    2 virt virt
0.0000262662398308 0.7164411503622071  -0.0043379966666703 #    1    3 virt occu
0.2835221260354389 0.0000104573625230  -0.0017218866557497 #    2    0 virt virt
0.2835221260354389 0.0000262662398308  -0.0027289302225918 #    2    1 virt virt
0.2835221260354389 0.7164411503622071   0.4506960374021148 #    2    3 virt occu
0.7164411503622071 0.0000104573625230  -0.0027371673013801 #    3    0 occu virt
0.7164411503622071 0.0000262662398308  -0.0043379966666703 #    3    1 occu virt
