0.0000002866300721 0.0000004890706048   0.0000003744093251 #    0    1 virt virt
0.0000002866300721 0.4444962574745099  -0.0003569397629018 #    0    2 virt virt
0.0000002866300721 0.5555029668248129  -0.0003990286398845 #    0    3 virt occu
0.0000004890706048 0.0000002866300721   0.0000003744093251 #    1    0 virt virt
0.0000004890706048 0.4444962574745099  -0.0004662510626899 #    1    2 virt virt
0.0000004890706048 0.5555029668248129  -0.0005212294810681 #    1    3 virt occu
0.4444962574745099 0.0000002866300721  -0.0003569397629018 #    2    0 virt virt
0.4444962574745099 0.0000004890706048  -0.0004662510626899 #    2    1 virt virt
0.4444962574745099 0.5555029668248129   0.4969094381973603 #    2    3 virt occu
0.5555029668248129 0.0000002866300721  -0.0003990286398845 #    3    0 occu virt
0.5555029668248129 0.0000004890706048  -0.0005212294810681 #    3    1 occu virt
0.5555029668248129 0.4444962574745099   0.4969094381973603 #    3    2 occu virt
0.0000000058955048 0.0000000065546511   0.0000000062163475 #    0    1 virt virt
0.0000000058955048 0.4878211682110669  -0.0000536279035861 #    0    2 virt virt
0.0000000058955048 0.5121788193387773  -0.0000549504567078 #    0    3 virt occu
0.0000000065546511 0.0000000058955048   0.0000000062163475 #    1    0 virt virt
0.0000000065546511 0.4878211682110669  -0.0000565464192741 #    1    2 virt virt
0.0000000065546511 0.5121788193387773  -0.0000579409478373 #    1    3 virt occu
0.4878211682110669 0.0000000058955048  -0.0000536279035861 #    2    0 virt virt
0.4878211682110669 0.0000000065546511  -0.0000565464192741 #    2    1 virt virt
0.4878211682110669 0.5121788193387773   0.4998516479744838 #    2    3 virt occu
0.5121788193387773 0.0000000058955048  -0.0000549504567078 #    3    0 occu virt
0.5121788193387773 0.0000000065546511  -0.0000579409478373 #    3    1 occu virt
0.5121788193387773 0.4878211682110669   0.4998516479744838 #    3    2 occu virt
0.0000009107091323 0.0000018683209650   0.0000013044144145 #    0    1 virt virt
0.0000009107091323 0.4121874501091846  -0.0006126849720866 #    0    2 virt virt
0.0000009107091323 0.5878097708607182  -0.0007316582032337 #    0    3 virt occu
0.0000018683209650 0.0000009107091323   0.0000013044144145 #    1    0 virt virt
0.0000018683209650 0.4121874501091846  -0.0008775525366275 #    1    2 virt virt
0.0000018683209650 0.5878097708607182  -0.0010479586434207 #    1    3 virt occu
0.4121874501091846 0.0000009107091323  -0.0006126849720866 #    2    0 virt virt
0.4121874501091846 0.0000018683209650  -0.0008775525366275 #    2    1 virt virt
0.4121874501091846 0.5878097708607182   0.4922273972467842 #    2    3 virt occu
0.5878097708607182 0.0000009107091323  -0.0007316582032337 #    3    0 occu virt
