0.0000000000000000 0.0000000000000000   0.0000000000000000 #    0    1 virt virt
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    0    2 virt virt
0.0000000000000000 0.9999999999999998   0.0000000000013061 #    0    3 virt occu
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    1    0 virt virt
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    1    2 virt virt
0.0000000000000000 0.9999999999999998   0.0000000000000019 #    1    3 virt occu
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    2    0 virt virt
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    2    1 virt virt
0.0000000000000000 0.9999999999999998   0.0000000000000075 #    2    3 virt occu
0.9999999999999998 0.0000000000000000   0.0000000000013061 #    3    0 occu virt
0.9999999999999998 0.0000000000000000   0.0000000000000019 #    3    1 occu virt
0.9999999999999998 0.0000000000000000   0.0000000000000075 #    3    2 occu virt
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    0    1 virt virt
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    0    2 virt virt
0.0000000000000000 0.9999999999999998   0.0000000000037600 #    0    3 virt occu
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    1    0 virt virt
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    1    2 virt virt
0.0000000000000000 0.9999999999999998   0.0000000000000008 #    1    3 virt occu
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    2    0 virt virt
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    2    1 virt virt
0.0000000000000000 0.9999999999999998   0.0000000000000005 #    2    3 virt occu
0.9999999999999998 0.0000000000000000   0.0000000000037600 #    3    0 occu virt
0.9999999999999998 0.0000000000000000   0.0000000000000008 #    3    1 occu virt
0.9999999999999998 0.0000000000000000   0.0000000000000005 #    3    2 occu virt
0.0000000000000000 0.0000000000000000  -0.0000000000000000 #    0    1 virt virt
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    0    2 virt virt
0.0000000000000000 0.9999999999999998   0.0000000000005636 #    0    3 virt occu
0.0000000000000000 0.0000000000000000  -0.0000000000000000 #    1    0 virt virt
0.0000000000000000 0.0000000000000000  -0.0000000000000000 #    1    2 virt virt
0.0000000000000000 0.9999999999999998  -0.0000000000000037 #    1    3 virt occu
0.0000000000000000 0.0000000000000000   0.0000000000000000 #    2    0 virt virt
0.0000000000000000 0.0000000000000000  -0.0000000000000000 #    2    1 virt virt
0.0000000000000000 0.9999999999999998   0.0000000000004865 #    2    3 virt occu
0.9999999999999998 0.0000000000000000   0.0000000000005636 #    3    0 occu virt
0.9999999999999998 0.0000000000000000  -0.0000000000000037 #    3    1 occu virt
0.9999999999999998 0.0000000000000000   0.0000000000004865 #    3    2 occu virt
0.0000000000350161 0.0000000000350181   0.0000000000350165 #    0    1 virt virt
0.0000000000350161 0.4985422929253240  -0.0000041781198940 #    0    2 virt virt
0.0000000000350161 0.5014577070046417  -0.0000041903186517 #    0    3 virt occu
0.0000000000350181 0.0000000000350161   0.0000000000350165 #    1    0 virt virt
0.0000000000350181 0.4985422929253240  -0.0000041782401025 #    1    2 virt virt
0.0000000000350181 0.5014577070046417  -0.0000041904392112 #    1    3 virt occu
0.4985422929253240 0.0000000000350161  -0.0000041781198940 #    2    0 virt virt
0.4985422929253240 0.0000000000350181  -0.0000041782401025 #    2    1 virt virt
0.4985422929253240 0.5014577070046417   0.4999978750506540 #    2    3 virt occu
0.5014577070046417 0.0000000000350161  -0.0000041903186517 #    3    0 occu virt
0.5014577070046417 0.0000000000350181  -0.0000041904392112 #    3    1 occu virt
0.5014577070046417 0.4985422929253240   0.4999978750506540 #    3    2 occu virt
0.0000000000000049 0.0000000000000034  -0.0000000000000019 #    0    1 virt virt
0.0000000000000049 0.4978744815709454   0.0000000262083642 #    0    2 virt virt
0.0000000000000049 0.5021255184290447   0.0000000263200173 #    0    3 virt occu
0.0000000000000030 0.0000000000000063  -0.0000000000000019 #    1    0 virt virt
0.0000000000000030 0.4978744815709454  -0.0000000351434837 #    1    2 virt virt
0.0000000000000030 0.5021255184290447  -0.0000000352932022 #    1    3 virt occu
0.4978744828341577 0.0000000000000063   0.0000000262083642 #    2    0 virt virt
0.4978744828341577 0.0000000000000034  -0.0000000351434837 #    2    1 virt virt
0.4978744828341577 0.5021255184290447   0.4999840371720525 #    2    3 virt occu
0.5021255171658344 0.0000000000000063   0.0000000263200173 #    3    0 occu virt
